"file name,","file size,","number of words,","% negative,","# of alphabetic,","# of digits,","# of numbers,","average word length,",vocabulary
./files\20140225_10-K_edgar_data_70858_0000070858-14-000012_1.txt,123255890,5159209,1.8811023162659237,73822625,10633666,1659643,4.992366271651332,2518
./files\20140226_10-K_edgar_data_34088_0000034088-14-000012_1.txt,27141736,1374198,0.6723194183079877,15932986,2377387,383164,4.935411054302218,1967
./files\20140227_10-K_edgar_data_21344_0000021344-14-000008_1.txt,34451556,1414832,1.7724365861105773,20492602,3077218,490630,5.061678701075463,2163
./files\20140227_10-K_edgar_data_310158_0000310158-14-000009_1.txt,31894759,1305795,1.9264892268694551,19007987,2841078,445766,5.084551556714492,2230
./files\20140227_10-K_edgar_data_40545_0000040554-14-000023_1.txt,54355532,2389856,1.5483778102111592,30738595,4942353,907679,4.856329837446273,2165
./files\20140227_10-K_edgar_data_732712_0001193125-14-073266_1.txt,18913215,644622,1.7545166004262962,10584504,1480848,328670,4.751888703767479,2095
./files\20140228_10-K_edgar_data_78003_0000078003-14-000018_1.txt,44445712,1815372,2.0987433980473424,26451194,3948403,621127,5.000889624826207,2497
./files\20140228_10-K_edgar_data_886982_0001193125-14-073792_1.txt,39620414,1389782,1.6109720805133467,21969991,3068475,688869,4.940560462000515,2357
./files\20140303_10-K_edgar_data_1103982_0001193125-14-079175_1.txt,22447447,705968,2.100236837930331,12317669,1788656,343971,4.819714208009429,2230
./files\20140303_10-K_edgar_data_831001_0001104659-14-015152_1.txt,124038930,4837594,0.7997984121858923,69763883,11703202,2739549,4.949744025645806,2619
./files\20140321_10-K_edgar_data_104169_0000104169-14-000019_1.txt,17670124,780138,2.1255213821144463,10652052,1496733,235463,5.087230720718642,2054
./files\20140327_10-K_edgar_data_354950_0000354950-14-000008_1.txt,10150336,426012,1.7633306104053406,6029041,890765,134056,5.033879327342892,1720
