"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
./files\20150225_10-K_edgar_data_34088_0000034088-15-000013_1.txt,26917781,1820659,0.5848981055760579,0.16702743347326435,0.05349711285858582,0.13138099995660912,0.01493964548001575,0.016257849492958318,0.014665019643986052,0.06272454094918378,16333303,2120567,314832,1.4296208131231603,4.8966550023919915,4017
./files\20150225_10-K_edgar_data_70858_0000070858-15-000008_1.txt,127145115,7572012,0.431391286754432,0.22980682016880055,0.9682367117220628,0.1422607359840423,0.019651315925014384,0.017287347141024076,0.011080278266859589,0.05388264043955556,77952787,10315673,1665494,1.5242423017818778,4.9978802199468255,5654
./files\20150225_10-K_edgar_data_831001_0000831001-15-000043_1.txt,113879559,6406539,0.5192975489574011,0.254443155657056,0.296806122619405,0.15741728880445433,0.02369454084334771,0.022836042986704677,0.018855734742268798,0.06382541337842476,69389487,9409841,1592217,1.5359449150313453,5.035078690693992,5716
./files\20150227_10-K_edgar_data_310158_0000310158-15-000005_1.txt,37467392,2162485,0.7273576464114202,0.32347045181816286,0.8261791411269904,0.2552156431142875,0.03056668601169488,0.02765337100604166,0.04027773603053894,0.0583125432083922,22669545,3134485,501276,1.563141940868954,5.092269772969524,5140
./files\20150227_10-K_edgar_data_40545_0000040545-15-000030_1.txt,80140097,3192296,0.6933567563910114,0.27278172199570466,0.10431363507644655,0.15277405353388282,0.022021767405027603,0.023243458626643645,0.019233805386467923,0.061241188160496396,43529338,9024314,1523245,1.4593139232702732,4.853472860912647,5319
./files\20150227_10-K_edgar_data_78003_0000078003-15-000014_1.txt,46025691,2634201,0.7376809894157659,0.34370953469382176,0.945827596299599,0.23008874417707686,0.03264747071313085,0.031318794579456924,0.019854217654613298,0.06305517308663994,27841087,3899933,617668,1.5356356633377635,5.054045230413321,5182
./files\20150326_10-K_edgar_data_354950_0000354950-15-000008_1.txt,11290968,646959,1.0770388849988948,0.30264669013028644,0.6171952163892921,0.29970987342319994,0.04250655760256832,0.037405770690260125,0.03725120138988715,0.08794993191222318,6740008,959973,141894,1.5514383446246207,5.063745925166819,3579
./files\20150401_10-K_edgar_data_104169_0000104169-15-000011_1.txt,17821080,1118819,0.6525631044878573,0.2499063744895287,0.9961396794298274,0.22255610603681203,0.046209440490374225,0.028690967886673358,0.03369624577344504,0.07212962954687041,10846271,1462156,230334,1.5732205119862999,5.14099599667149,4141
./files\20150723_10-K_edgar_data_320187_0000320187-15-000113_1.txt,16905418,1349459,0.7216966206457551,0.27929711091630055,0.9528262807539911,0.2848548937018464,0.06061688424768741,0.037200092777920635,0.04587023392337226,0.09359306210859314,11534936,1085548,179040,1.5829654698660722,5.17734884868677,4384
./files\20150731_10-K_edgar_data_789019_0001193125-15-272806_1.txt,14337071,857392,1.3388275141358912,0.539543172784444,0.1741327187564148,0.3811558773583145,0.05446750144624629,0.04187116278201803,0.039188609177599046,0.10321999738742604,9124744,781544,216402,1.5175567301770951,4.8770643999477485,4233
./files\20150807_10-K_edgar_data_80424_0000080424-15-000070_1.txt,19145589,1570926,0.7248590958453803,0.3930166029462877,0.6911846897944269,0.4211528741646647,0.0580549306587325,0.033228808995458735,0.09554874004249722,0.13813508720334375,13026018,1197317,202005,1.5855469958483086,5.146735110374391,5380
./files\20150908_10-K_edgar_data_858877_0000858877-15-000070_1.txt,23764933,1905409,0.7614113295360734,0.32706888652252614,0.9094110503309263,0.3096448059183094,0.06371335498047925,0.030649587568863167,0.0431403441465848,0.12753167430194776,16243664,1488930,249532,1.5863323832311067,5.184178305025325,4681
./files\20151028_10-K_edgar_data_1618921_0001140361-15-038791_1.txt,21300268,1620632,1.0627335508616391,0.3522699786256226,0.20714141149872395,0.3415334264657245,0.07268769220896538,0.033937377516919325,0.0695407717483056,0.12143410718781315,14587500,878794,237978,1.634461740851717,5.260590929958189,5609
./files\20151028_10-K_edgar_data_320193_0001193125-15-356351_1.txt,9594425,553304,1.552130474386594,0.4816520393852204,0.2973049173691135,0.3573080982606307,0.08765524919393317,0.0710278617179706,0.03813455171117505,0.1203678267281639,6155433,544683,109322,1.5823724390208638,4.9593153131009355,3501
./files\20151120_10-K_edgar_data_1403161_0001403161-15-000013_1.txt,17272826,1298362,0.9922502352964735,0.3918783821461195,0.9336379222435653,0.4679742629559398,0.07101255273952874,0.03820198064946448,0.03881814162768165,0.13278269080579994,11639074,1151934,185218,1.5575625287862707,5.127147898660004,4695
./files\20151216_10-K_edgar_data_47217_0001047469-15-009251_1.txt,36541168,3057715,0.6064986435949721,0.2166323545523373,0.10416274898085662,0.19671552123072295,0.03240982236735602,0.017300500537165826,0.01893570852744615,0.05366752624100023,23932505,1529891,253260,1.489191438705046,5.012037093058051,4857
./files\20160203_10-K_edgar_data_1467858_0001467858-16-000255_1.txt,25462841,2025148,0.772239856050027,0.2881270899707083,1.0129136240906838,0.2021580644970145,0.03268896890498867,0.01792461587992581,0.018961577129177717,0.08112987297718488,17374428,1569238,258318,1.579164584514317,5.183841872297728,4357
./files\20160204_10-K_edgar_data_30554_0000030554-16-000106_1.txt,24672466,1856855,1.0113336797972916,0.35985577764553506,0.2716959590274954,0.2979231011576025,0.029458412207738354,0.024234525582234476,0.029242994202562936,0.08853680012709662,16730994,1701677,282609,1.5718680241591292,5.119513370726309,4923
./files\20160209_10-K_edgar_data_731766_0000731766-16-000058_1.txt,20378358,1572030,0.7300115137751824,0.20311317214048077,1.0355400342232655,0.22130620916903623,0.03142433668568666,0.017747752905478906,0.022709490276903114,0.07194519188565104,13885406,1306603,214846,1.5884620522509112,5.197024229817497,4333
